Year,Rank,Chapter,# Memb,NM,Active,Qtr GPA,Cum GPA,Dean's List
2016,1,Alpha Delta Phi,84,26,58,3.49,3.5,44
2016,2,Chi Psi,65,18,47,3.49,3.46,35
2016,3,Phi Delta Theta,102,30,72,3.42,3.41,48
2016,4,Pi Kappa Phi,104,26,78,3.38,3.4,48
2016,4,Beta Theta Pi,116,30,86,3.38,3.47,59
2016,6,Sigma Chi,105,32,73,3.36,3.4,43
2016,6,Sigma Phi Epsilon,108,28,80,3.36,3.35,37
2016,6,Phi Gamma Delta,107,29,79,3.36,3.38,39
2016,6,Theta Chi,84,29,55,3.36,3.34,25
2016,6,Kappa Alpha,33,7,26,3.36,3.29,8
2016,11,Zeta Psi,102,36,65,3.34,3.36,38
2016,13,Pi Kappa Alpha,77,21,56,3.34,3.3,19
2016,13,Alpha Epsilon Pi,72,20,52,3.31,3.31,24
2016,15,Delta Tau Delta,68,24,44,3.31,3.29,31
2016,16,Alpha Sigma Phi,70,26,44,3.28,3.32,24
2016,17,Acacia,24,7,17,3.26,3.24,8
2016,17,Psi Upsilon,50,11,39,3.25,3.22,10
2016,19,Delta Chi,71,24,47,3.25,3.25,18
2016,20,Sigma Alpha Epsilon,87,20,67,3.24,3.22,20
2016,21,Phi Kappa Psi,66,21,45,3.23,3.29,21
2016,21,Phi Kappa Tau,40,17,23,3.18,3.18,9
2016,23,Tau Kappa Epsilon,99,33,66,3.18,3.27,32
2016,24,Phi Kappa Sigma,56,25,31,3.17,3.25,15
2016,24,Phi Kappa Theta,17,17,17,3.16,3.11,3
2016,26,Alpha Tau Omega,28,11,17,3.16,3.13,5
2016,27,Theta Xi,65,19,46,3.15,3.2,19
2016,28,Delta Upsilon,58,22,36,3.15,3.13,8
2016,29,Kappa Sigma,58,15,43,3.14,3.14,9
2016,30,Theta Delta Chi,62,12,50,3.13,3.14,12
2016,31,Lambda Chi Alpha,30,12,18,3.11,3.02,6
2016,32,Sigma Alpha Mu,8,1,7,3.11,3.28,3
2016,33,Zeta Beta Tau,49,8,41,3.05,3.2,11
2016,33,Sigma Nu,38,7,30,2.98,3.15,7
