Year,Rank,Fraternity,Members Total,Qtr GPA,Cum GPA,Dean's List,Actives Total,A GPA,NM Total,NM GPA
2017,1,Alpha Delta Phi,97,3.5,3.53,59,68,3.43,29,3.64
2017,2,Phi Gamma Delta,110,3.5,3.47,63,84,3.52,26,3.46
2017,3,Chi Psi,65,3.47,3.45,34,46,3.43,19,3.57
2017,4,Phi Delta Theta,92,3.46,3.48,52,63,3.46,29,3.45
2017,5,Beta Theta Pi,112,3.44,3.5,52,83,3.38,29,3.61
2017,6,Sigma Phi Epsilon,111,3.43,3.44,51,80,3.42,31,3.46
2017,6,Pi Kappa Phi,94,3.43,3.4,43,69,3.48,25,3.3
2017,8,Phi Kappa Sigma,45,3.41,3.31,20,32,3.45,13,3.32
2017,9,Sigma Chi,96,3.38,3.39,42,68,3.41,28,3.32
2017,10,Kappa Alpha,35,3.37,3.37,17,25,3.41,10,3.28
2017,11,Alpha Epsilon Pi,73,3.34,3.35,36,58,3.34,15,3.33
2017,12,Theta Chi,93,3.33,3.36,33,66,3.31,27,3.38
2017,13,Alpha Sigma Phi,78,3.33,3.3,32,54,3.38,24,3.21
2017,14,Delta Tau Delta,71,3.33,3.29,29,51,3.37,20,3.22
2017,15,Alpha Tau Omega,23,3.33,3.23,13,13,3.24,10,3.46
2017,16,Pi Kappa Alpha,77,3.32,3.3,29,54,3.31,20,3.34
2017,17,Kappa Sigma,44,3.29,3.27,16,28,3.37,16,3.16
2017,18,Acacia,23,3.29,3.26,9,21,3.28,2,3.35
2017,19,Theta Xi,67,3.29,3.23,30,48,3.36,19,3.09
2017,20,Phi Kappa Psi,74,3.28,3.29,30,57,3.31,30,3.17
2017,21,Phi Kappa Tau,36,3.27,3.25,15,25,3.26,11,3.29
2017,22,Sigma Alpha Epsilon,77,3.2,3.22,11,50,3.19,27,3.23
2017,23,Tau Kappa Epsilon,104,3.19,3.22,34,78,3.24,26,3.02
2017,24,Psi Upsilon,44,3.18,3.22,18,28,3.18,16,3.16
2017,25,Theta Delta Chi,43,3.16,3.17,12,16,3.12,27,3.29
