Year,Rank,Fraternity/Sorority,Members A,Members NM,Dean's List A,Dean's List NM,QTR GPA A,QTR GPA NM,CUM GPA A,CUM GPA NM,Total Members,Total Dean's List,Total QTR GPA,Total CUM GPA
2018,1,Beta Theta Pi,81,28,42,22,3.45,3.7,3.49,3.43,109,64,3.52,3.54
2018,2,Chi Psi,49,17,24,10,3.47,3.53,3.53,3.43,66,34,3.49,3.46
2018,3,Phi Gamma Delta,76,24,37,17,3.43,3.6,3.47,3.5,100,54,3.5,3.5
2018,4,Alpha Delta Phi,74,27,37,14,3.43,3.41,3.49,3.41,101,51,3.47,3.47
2018,5,Zeta Psi,57,31,31,16,3.41,3.39,3.37,3.39,88,43,3.39,3.39
2018,6,Theta Xi,59,17,17,7,3.47,3.05,3.33,3.05,76,41,3.37,3.36
2018,6,Pi Kappa Phi,70,29,29,13,3.33,3.47,3.39,3.47,99,44,3.41,3.41
2018,8,Sigma Phi Epsilon,73,28,28,8,3.37,3.37,3.37,3.37,101,48,3.38,3.37
2018,9,Pi Kappa Alpha,59,26,25,9,3.37,3.36,3.34,3.36,85,34,3.36,3.36
2018,10,Phi Delta Theta,71,23,31,11,3.35,3.32,3.42,3.32,94,42,3.4,3.4
2018,11,Sigma Chi,79,32,31,13,3.35,3.24,3.4,3.24,111,44,3.36,3.36
2018,12,Theta Chi,70,27,27,7,3.35,3.24,3.26,3.24,97,34,3.22,3.24
2018,13,Phi Kappa Sigma,35,15,15,10,3.33,3.22,3.33,3.22,50,16,3.3,3.27
2018,14,Delta Tau Delta,55,17,17,7,3.24,3.38,3.28,3.38,72,24,3.24,3.38
2018,15,Theta Delta Chi,29,14,10,7,3.22,3.31,3.08,3.31,34,17,3.05,3.15
2018,16,Zeta Beta Tau,31,4,3,5,3.27,3.05,3.19,3.05,35,8,3.15,3.31
2018,17,Phi Kappa Psi,38,13,12,6,3.23,3.26,3.21,3.26,61,18,3.26,3.21
2018,18,Acacia,13,4,4,3,3.44,2.69,3.35,2.69,17,7,2.89,2.96
2018,19,Kappa Sigma,28,10,9,5,3.15,3.25,3.15,3.25,38,14,3.18,3.08
2018,20,Sigma Nu,40,14,11,3,3.22,3.11,3.11,3.11,54,14,3.16,3.16
2018,21,Sigma Alpha Epsilon,31,5,5,2,3.13,2.99,2.87,2.99,36,7,2.93,3.19
2018,22,Kappa Alpha,5,1,1,1,3.14,2.87,3.04,2.87,6,2,2.87,3.09
2018,23,Phi Kappa Tau,26,7,2,1,3.18,2.52,2.71,2.52,33,3,2.52,3.18
2018,24,Lambda Chi Alpha,34,12,2,0,3.18,3.15,2.34,3.15,46,2,3.08,3.1
2018,25,Psi Upsilon,33,7,3,2,3.04,2.63,2.31,2.63,40,9,3.26,2.31
