Year,Rank,Fraternity/Sorority,Active Members Total,Active Members Dean's,Active Members Cum.,Active Members Qtr.,New Members Total,New Members Dean's,New Members Cum.,New Members Qtr.,Total Chapter Members,Total Chapter Dean's,Total Chapter Cum.,Total Chapter Qtr.
2019,1,Phi Gamma Delta,75,51,3.53,3.58,27,19,3.64,3.68,102,70,3.53,3.6
2019,2,Sigma Phi Epsilon,71,43,3.48,3.55,32,17,3.49,3.51,103,60,3.48,3.54
2019,3,Beta Theta Pi,77,42,3.5,3.5,28,18,3.55,3.56,105,60,3.5,3.51
2019,4,Phi Delta Theta,64,34,3.45,3.49,24,13,3.49,3.47,88,47,3.46,3.49
2019,5,Chi Psi,50,24,3.46,3.48,20,13,3.49,3.49,70,37,3.46,3.48
2019,5,Sigma Chi,75,35,3.43,3.47,26,17,3.47,3.5,101,52,3.44,3.48
2019,7,Sigma Nu,39,22,3.3,3.47,12,7,3.26,3.48,51,29,3.3,3.47
2019,8,Alpha Delta Phi,81,38,3.49,3.4,22,11,3.47,3.4,103,49,3.49,3.44
2019,8,Theta Xi,39,20,3.42,3.43,16,8,3.4,3.46,55,28,3.42,3.44
2019,10,Phi Kappa Psi,43,19,3.35,3.36,23,11,3.4,3.52,66,30,3.36,3.42
2019,11,Tau Kappa Epsilon,58,22,3.35,3.41,25,13,3.36,3.46,83,35,3.35,3.42
2019,12,Theta Chi,65,31,3.4,3.45,21,9,3.33,3.45,86,40,3.39,3.4
2019,13,Pi Kappa Phi,72,36,3.39,3.39,27,13,3.31,3.36,99,49,3.39,3.38
2019,14,Zeta Psi,61,27,3.39,3.42,31,12,3.28,3.42,92,39,3.39,3.37
2019,15,Delta Tau Delta,54,20,3.29,3.32,20,11,3.45,3.32,74,31,3.29,3.36
2019,16,Pi Kappa Alpha,64,31,3.37,3.37,19,10,3.36,3.37,83,41,3.37,3.35
2019,17,Alpha Sigma Phi,78,35,3.32,3.37,14,2,2.97,3.32,92,37,3.32,3.34
2019,18,Kappa Sigma,41,17,3.26,3.31,15,8,3.29,3.35,56,25,3.26,3.32
2019,19,Psi Upsilon,29,6,3.16,3.23,2,2,3.41,3.41,34,8,3.17,3.26
2019,20,Kappa Alpha,34,4,3.3,3.31,4,4,3.33,3.33,38,4,3.22,3.3
2019,21,Phi Kappa Sigma,44,15,3.17,3.31,16,9,2.97,3.29,60,25,3.21,3.21
2019,22,Sigma Alpha Epsilon,15,6,3.16,3.23,4,4,3.07,3.04,25,10,3.14,3.15
