Year,Fraternity/Sorority,Men's Average,Women's Average,Undergrad Average,Council Average,Greek Average,Chapter Size,Dean's List #,Dean's List %
2023,Alpha Delta Phi,✓,,,✓,✓,93,56,60%
2023,Alpha Sigma Phi,✓,,,,✓,52,30,58%
2023,Beta Theta Pi,✓,,,,✓,100,48,48%
2023,Chi Psi,✓,,,,✓,48,21,44%
2023,Delta Kappa Epsilon,✓,,✓,✓,✓,20,10,50%
2023,Delta Tau Delta,✓,,,,✓,60,33,55%
2023,Kappa Sigma,✓,,,,,45,25,56%
2023,Lambda Chi Alpha,✓,,,,,29,15,52%
2023,Phi Delta Theta,✓,,✓,,✓,86,54,63%
2023,Phi Kappa Psi,✓,,,,,57,32,56%
2023,Phi Kappa Sigma,✓,,,,,48,22,46%
2023,Pi Kappa Alpha,✓,,,,,58,35,60%
2023,Pi Kappa Phi,✓,,,,,51,28,54%
2023,Psi Upsilon,✓,,,,,23,10,43%
2023,Sigma Alpha Epsilon,✓,,,,,30,16,53%
2023,Sigma Nu,✓,,,,,26,16,62%
2023,Sigma Phi Epsilon,✓,,✓,,✓,89,53,60%
2023,Tau Kappa Epsilon,✓,,,,,97,28,29%
2023,Theta Delta Chi,✓,,,,,21,10,32%
2023,Alpha Chi Omega,,✓,,✓,✓,94,63,67%
2023,Alpha Delta Pi,,✓,✓,,✓,115,82,71%
2023,Alpha Gamma Delta,,✓,✓,,✓,81,64,79%
2023,Alpha Phi,,✓,✓,,✓,93,43,46%
2023,Alpha Xi Delta,,✓,✓,✓,✓,115,83,72%
2023,Chi Omega,,✓,✓,,✓,104,58,56%
2023,Delta Delta Delta,,✓,✓,,✓,103,59,57%
2023,Delta Gamma,,✓,✓,,✓,106,67,63%
2023,Delta Zeta,,✓,✓,,✓,90,53,59%
2023,Gamma Phi Beta,,✓,✓,,✓,96,56,58%
2023,Kappa Alpha Theta,,✓,✓,,✓,91,48,53%
2023,Kappa Delta,,✓,✓,,✓,114,76,67%
2023,Kappa Kappa Gamma,,✓,✓,,✓,99,65,66%
2023,Phi Mu,,✓,✓,,✓,85,57,67%
2023,Phi Sigma Rho,,✓,,,,53,27,51%
2023,Pi Beta Phi,,✓,✓,,✓,102,51,50%
2023,Sigma Kappa,,✓,✓,,✓,103,53,51%
2023,Zeta Tau Alpha,,✓,✓,,✓,85,52,61%
